Region,Hollande,Sarkozy,Le_Pen,Bayrou,Melenchon,Joly,Dupond_Aignan,Poutou,Arthaud,Cheminade,Blancs_Nuls
Alsace,191282,326313,219251,116115,72376,27168,18681,10817,6387,2977,19825
Aquitaine,593891,465683,296210,204805,231951,45067,31199,30281,9114,4371,36540
Auvergne,252117,192229,139868,81816,104730,15348,15276,10333,5509,2010,19031
Bourgogne,262816,250202,191148,81986,97185,17077,19101,11192,5937,2318,19160
Bretagne,628421,508072,262102,224902,217923,58396,35587,26693,12593,5085,36169
Centre,385182,403455,280094,137170,151969,26314,30608,17609,9827,3752,29194
Champ-Ard,178914,206171,172783,62093,62184,10150,14993,8611,4990,1752,12621
Corse,39029,50493,39210,8045,15843,3762,1728,1870,502,337,2919
Fr-Comte,172644,177701,141969,58233,73946,14379,13221,8459,4615,1797,14590
Ile-de-Fr,1695345,1549965,655835,492062,632181,144338,92469,44554,20129,13411,86766
Lang-Rouss,408662,384094,363879,105431,204169,35465,22228,17072,7027,3488,28276
Limousin,172150,94373,69377,34568,58007,7462,7722,5385,2655,991,10225
Lorraine,332003,330550,308405,118883,133564,22749,25860,18175,9435,3621,24321
Midi-Pyr,552933,397600,281088,165585,229283,44763,28324,21319,8295,4173,34859
Nord-PdC,633438,524339,517136,156865,270909,34293,35280,26089,16791,5010,41527
Basse-Nor,242706,249473,150801,93171,88064,17278,19336,12081,6432,2312,16953
Haute-Nor,286908,266940,207519,82589,126333,16988,19520,13500,7107,2561,19599
Pays-Loire,609220,614201,308798,120082,217500,58284,44226,20814,5093,3509,47799
Picardie,282725,266735,266067,77127,110642,14084,21017,13424,8799,2546,19575
Poit-Char,329070,270310,137591,105004,117263,20256,22168,15347,6974,2251,23333
PACA,600744,846041,653002,128175,306341,59011,44421,23103,9943,5888,44836
Rhone-Alp,689820,968762,682311,340035,382676,97781,67700,35386,18289,8974,62934
Outremer,439365,256841,740116,356665,51173,19859,10757,8445,6476,3117,47675
